id,id_anfitrion,ultima_extraccion,zona_grupo,vecindario,latitud,longitud,tipo_propiedad,tipo_habitacion,capacidad,banos,recamaras,camas,noches_minimas,noches_maximas,min_noches_minimas,max_noches_minimas,min_noches_maximas,max_noches_maximas,precio,tiene_disponibilidad,disp_30d,disp_60d,disp_90d,disp_365d,calendario_ultima_extraccion,calendario_actualizado,num_resenas,num_resenas_12m,num_resenas_30d,primera_resena,ultima_resena,resenas_por_mes,calif_total,calif_exactitud,calif_limpieza,calif_checkin,calif_comunicacion,calif_ubicacion,calif_valor,reserva_inmediata,es_superhost,tiempo_respuesta_host,tasa_respuesta_host,tasa_aceptacion_host,host_tiene_foto,host_verificado,antiguedad_host,vecindario_host,total_listados_host,host_total_casas_completas,host_total_habitaciones_privadas,host_total_habitaciones_compartidas,licencia
1287648766039412482,661612979,2025-06-17,Isole,Cannaregio,45.43940580865012,12.33768238659784,Private room in rental unit,Private room,8,1.0,3.0,3.0,1,365,1,1,365,365,$191.00,t,19,49,79,150,2025-06-17,,13,13,0,2024-12-01,2025-02-04,1.96,4.0,4.23,4.15,4.08,4.69,4.69,4.31,f,f,a few days or more,30%,50%,t,t,2024-11-11,,3,0,3,0,IT027042B4MAS3XFRY
1295606706140798565,663453728,2025-06-17,Isole,San Marco,45.4345604,12.3304533,Entire guest suite,Entire home/apt,2,1.0,1.0,1.0,1,365,1,3,99,99,$242.00,t,25,55,85,280,2025-06-17,,2,2,0,2025-03-03,2025-05-12,0.56,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,f,within a day,100%,91%,t,t,2024-11-22,,4,4,0,0,IT027042B49K9JHAZJ
1295638377724888949,663453728,2025-06-17,Isole,San Marco,45.4345604,12.3304533,Entire guest suite,Entire home/apt,3,1.0,1.0,2.0,1,365,1,3,99,99,$403.00,t,22,48,75,267,2025-06-17,,0,0,0,,,,,,,,,,,t,f,within a day,100%,91%,t,t,2024-11-22,,4,4,0,0,IT027042B44MFKI4WW
1296381475049534016,663609009,2025-06-17,Isole,Castello,45.435181101218205,12.342861959142938,Entire home,Entire home/apt,4,1.0,2.0,2.0,3,365,3,3,365,365,$179.00,t,20,45,66,306,2025-06-17,,4,4,0,2024-12-27,2025-04-25,0.69,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,f,within a day,100%,60%,t,t,2024-11-23,,1,1,0,0,IT027042B4BNKQ38WM
1297756421011007244,663453728,2025-06-17,Isole,San Marco,45.4345604,12.3304533,Entire guest suite,Entire home/apt,1,1.0,1.0,1.0,1,365,1,3,99,99,$201.00,t,8,33,59,243,2025-06-17,,0,0,0,,,,,,,,,,,t,f,within a day,100%,91%,t,t,2024-11-22,,4,4,0,0,IT027042B49K9JHAZJ
1297756486619049622,663453728,2025-06-17,Isole,San Marco,45.4345604,12.3304533,Entire guest suite,Entire home/apt,2,1.0,1.0,1.0,1,365,1,3,99,99,$252.00,t,30,60,90,285,2025-06-17,,3,3,0,2025-04-21,2025-05-10,1.55,5.0,4.67,5.0,5.0,4.67,5.0,4.67,t,f,within a day,100%,91%,t,t,2024-11-22,,4,4,0,0,IT027042B44MFKI4WW
1298563984146933671,92101953,2025-06-17,Isole,Lido,45.41774296460542,12.373479687515406,Entire rental unit,Entire home/apt,4,1.0,2.0,4.0,3,365,3,7,365,365,$200.00,t,1,1,8,188,2025-06-17,,0,0,0,,,,,,,,,,,f,f,a few days or more,0%,0%,t,t,2016-08-27,,1,1,0,0,IT027042C2PPV9YYKG
1300192232171096375,664461584,2025-06-17,Isole,Castello,45.4357798,12.348486,Entire rental unit,Entire home/apt,6,,2.0,,2,30,2,2,30,30,,t,0,0,4,46,2025-06-17,,20,20,6,2025-02-07,2025-06-15,4.58,5.0,4.9,5.0,4.95,4.95,4.9,5.0,f,f,within a day,90%,72%,t,t,2024-11-28,,1,1,0,0,IT027042B4N6XHIQTF
1313201565481033729,44994934,2025-06-17,Isole,Castello,45.43298672078712,12.3490227966887,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,3,365,3,3,365,365,$128.00,t,15,45,75,350,2025-06-17,,1,1,0,2025-03-03,2025-03-03,0.28,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,f,within a day,50%,100%,t,t,2015-09-24,Castello,3,3,0,0,IT027042C2QSQEF4GO
1314490303546258762,559935740,2025-06-17,Isole,Lido,45.38182,12.34754,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,3,28,3,3,28,28,$152.00,t,0,0,0,44,2025-06-17,,0,0,0,,,,,,,,,,,f,f,within a day,100%,0%,t,t,2024-02-02,,1,1,0,0,IT027042C24HW4BNMU
1315327981665565213,664436691,2025-06-17,Terraferma,Marghera,45.4647963,12.2229154,Private room in rental unit,Private room,2,2.0,1.0,1.0,1,5,1,1,5,5,$80.00,,30,60,90,365,2025-06-17,,0,0,0,,,,,,,,,,,f,f,a few days or more,0%,0%,f,t,2024-11-28,,1,0,1,0,
1315738290123518468,102501946,2025-06-17,Isole,Dorsoduro,45.43338749999999,12.32352,Entire rental unit,Entire home/apt,6,2.0,2.0,5.0,2,10,1,2,31,31,$250.00,t,2,2,3,36,2025-06-17,,0,0,0,,,,,,,,,,,t,f,within a day,100%,100%,t,t,2016-11-04,,1,1,0,0,IT027042C2ZS8M435G
