id_anfitrion,zona_grupo,latitud,tipo_propiedad,capacidad,recamaras,noches_minimas,min_noches_minimas,min_noches_maximas,precio,disp_30d,disp_90d,calendario_ultima_extraccion,num_resenas,num_resenas_30d,ultima_resena,calif_total,calif_limpieza,calif_comunicacion,calif_valor,es_superhost,tasa_respuesta_host,host_tiene_foto,antiguedad_host,total_listados_host,host_total_habitaciones_privadas,licencia
1755160,Isole,45.43845,Entire rental unit,7,2.0,3,1,365,$139.00,19,64,2025-06-17,183,1,2025-06-15,4.45,4.51,4.7,4.43,f,100%,t,2012-02-15,1,0,IT027042C2KU2SGPVN
1755413,Isole,45.43015,Entire condo,4,2.0,5,3,29,$123.00,14,26,2025-06-17,113,2,2025-06-06,4.87,4.99,4.92,4.77,t,100%,t,2012-02-15,2,0,IT027042B44VBTF97A
1765622,Isole,45.43453,Entire rental unit,6,3.0,3,2,1125,$412.00,4,24,2025-06-17,254,3,2025-05-30,4.83,4.81,4.92,4.75,f,100%,t,2012-02-17,1,0,IT027042C2EKEGK7CC
1784535,Isole,45.43598,Entire rental unit,5,1.0,2,2,30,$144.00,12,69,2025-06-17,421,5,2025-06-08,4.92,4.89,4.95,4.86,t,100%,t,2012-02-21,4,0,IT027042C2YQ3AVHY7
1784566,Isole,45.43496322631836,Entire rental unit,4,2.0,3,2,1125,$190.00,13,13,2025-06-17,132,0,2025-05-04,4.66,4.73,4.82,4.6,t,100%,t,2012-02-21,2,0,IT027042B48MDQSSCC
642936,Isole,45.44080781081406,Private room in home,2,1.0,2,2,8,$95.00,2,5,2025-06-17,650,11,2025-06-16,4.7,4.83,4.76,4.64,t,92%,t,2011-05-30,2,2,IT027042B49J4K5SRT
1567140,Isole,45.45617,Entire serviced apartment,2,0.0,1,1,1125,$289.00,10,49,2025-06-17,412,0,2025-05-03,4.87,4.91,4.84,4.73,,100%,t,2012-01-04,4,0,IT027042C2S8YKDRFN
1617572,Isole,45.431945,Entire rental unit,3,1.0,1,1,2,$141.00,21,54,2025-06-17,28,1,2025-05-18,4.5,4.68,4.78,4.33,f,100%,t,2012-01-17,20,5,IT027042B4WUJJIJZ3
1851989,Isole,45.44448,Private room in home,4,4.0,1,1,14,$178.00,17,68,2025-06-17,16,0,2024-10-04,4.56,4.94,4.88,4.44,f,90%,t,2012-03-03,7,7,IT027042B4MXYJ4ISZ
1862349,Isole,45.43729,Entire rental unit,3,1.0,3,2,60,$143.00,5,46,2025-06-17,421,7,2025-06-13,4.77,4.87,4.87,4.68,t,100%,t,2012-03-05,4,1,it027042b4vbb6crfa
619545,Isole,45.43892,Entire rental unit,5,2.0,3,3,1125,$380.00,29,74,2025-06-17,199,0,2024-10-16,4.91,4.96,4.96,4.75,,100%,t,2011-05-24,2,0,IT027042C2CIRKHCY5
1784566,Isole,45.43309,Entire condo,2,1.0,3,2,1125,$167.00,25,78,2025-06-17,263,1,2025-06-01,4.66,4.73,4.81,4.52,t,100%,t,2012-02-21,2,0,IT027042B4WUJYHKFB
1532147,Isole,45.43247,Entire condo,5,2.0,2,2,180,$125.00,9,30,2025-06-17,57,1,2025-05-26,4.64,4.68,4.86,4.61,t,100%,t,2011-12-24,1,0,IT027042C2A9BMNVO7
1943379,Isole,45.43945,Entire rental unit,6,2.0,31,31,1125,,0,0,2025-06-17,339,0,2020-10-10,4.67,4.67,4.82,4.63,f,,t,2012-03-17,1,0,
2054352,Isole,45.4248,Entire rental unit,4,2.0,2,2,1125,$194.00,6,21,2025-06-17,58,0,2022-05-02,4.66,4.81,5.0,4.63,f,,t,2012-04-02,1,0,IT027042C2SJIQ33FY
2089352,Isole,45.43771,Private room in bed and breakfast,5,1.0,2,2,1125,$113.00,12,36,2025-06-17,594,4,2025-06-02,4.61,4.6,4.6,4.62,f,100%,t,2012-04-07,1,1,IT027042C17WLBP5MA
1981478,Isole,45.44243,Entire rental unit,2,1.0,31,31,1125,$140.00,0,0,2025-06-17,159,0,2018-03-12,4.78,4.81,4.92,4.62,f,,t,2012-03-21,1,0,
1878243,Isole,45.44073,Private room in rental unit,2,,5,5,7,,0,0,2025-06-17,31,0,2024-01-05,4.94,4.87,4.97,4.94,t,100%,t,2012-03-07,3,1,it027042c29t2owim7
2136473,Isole,45.43193,Entire rental unit,4,3.0,3,3,1125,$198.00,7,25,2025-06-17,91,1,2025-05-25,4.68,4.53,4.89,4.74,f,100%,t,2012-04-14,1,0,IT027042B4UHIEGMAS
2138358,Isole,45.4294,Entire rental unit,5,2.0,3,2,1125,$110.00,19,50,2025-06-17,338,3,2025-06-01,4.83,4.88,4.9,4.73,f,100%,t,2012-04-14,2,0,IT027042C2PK2NAMWT
2193613,Isole,45.44102,Entire rental unit,5,2.0,3,2,1125,$214.00,2,6,2025-06-17,538,7,2025-06-15,4.97,4.97,4.97,4.91,t,100%,t,2012-04-22,1,0,IT027042C2IABFLVN5
2196999,Isole,45.43203,Entire home,4,1.0,1,1,1125,$140.00,26,75,2025-06-17,241,5,2025-06-15,4.84,4.93,4.82,4.67,t,100%,t,2012-04-22,4,0,IT027042B4VHEACL8S
2351876,Isole,45.42791,Entire home,8,3.0,2,2,1125,$473.00,26,81,2025-06-17,79,0,2025-04-27,4.57,4.23,4.8,4.38,t,100%,t,2012-05-12,1,0,IT027042C25OQJCNUN
2360430,Isole,45.433341,Entire rental unit,4,3.0,3,1,365,$390.00,2,34,2025-06-17,157,0,2023-11-17,4.6,4.73,4.75,4.6,t,100%,t,2012-05-13,2,0,IT027042B4R2X796WJ
2368512,Isole,45.4309,Entire condo,2,1.0,3,2,1125,$140.00,0,4,2025-06-17,201,4,2025-06-14,4.92,4.82,4.9,4.83,t,100%,t,2012-05-14,1,0,IT027042C22K7EI5Z9
2396006,Isole,45.42789,Entire rental unit,2,1.0,2,1,1125,$135.00,20,57,2025-06-17,99,0,2024-05-26,4.85,4.92,4.99,4.81,f,100%,t,2012-05-17,1,0,IT027042C2KPZPXRTS
