id,id_anfitrion,ultima_extraccion,zona_grupo,vecindario,latitud,longitud,tipo_propiedad,tipo_habitacion,capacidad,banos,recamaras,camas,noches_minimas,noches_maximas,min_noches_minimas,max_noches_minimas,min_noches_maximas,max_noches_maximas,precio,tiene_disponibilidad,disp_30d,disp_60d,disp_90d,disp_365d,calendario_ultima_extraccion,calendario_actualizado,num_resenas,num_resenas_12m,num_resenas_30d,primera_resena,ultima_resena,resenas_por_mes,calif_total,calif_exactitud,calif_limpieza,calif_checkin,calif_comunicacion,calif_ubicacion,calif_valor,reserva_inmediata,es_superhost,tiempo_respuesta_host,tasa_respuesta_host,tasa_aceptacion_host,host_tiene_foto,host_verificado,antiguedad_host,vecindario_host,total_listados_host,host_total_casas_completas,host_total_habitaciones_privadas,host_total_habitaciones_compartidas,licencia
1392648601825845363,688259413,2025-06-17,Isole,Cannaregio,45.4439106,12.3266908,Entire rental unit,Entire home/apt,6,2.0,2.0,6.0,1,365,1,1,365,365,$139.00,t,28,55,85,355,2025-06-17,,3,3,1,2025-05-10,2025-05-31,2.31,4.0,4.0,3.33,4.33,4.67,5.0,3.67,f,f,within an hour,90%,100%,t,t,2025-04-05,,1,1,0,0,IT027042B45W8CE95U
1392749035525141764,671178529,2025-06-17,Isole,Cannaregio,45.43949009792976,12.34053680674592,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,2,1125,1,2,1125,1125,$198.00,t,14,32,49,308,2025-06-17,,2,2,2,2025-06-07,2025-06-16,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,f,within an hour,100%,91%,t,t,2025-01-06,,2,2,0,0,IT027042C2GUCZ88JL
1392945821776202421,498652998,2025-06-17,Terraferma,Piave 1860,45.4829807,12.2324857,Private room in rental unit,Private room,2,,1.0,1.0,1,365,1,1,365,365,$55.00,t,1,8,29,301,2025-06-17,,22,22,8,2025-04-16,2025-06-11,10.48,4.91,5.0,4.91,5.0,5.0,5.0,4.95,t,t,within an hour,100%,100%,t,t,2023-01-30,,10,0,10,0,IT027042C2WZASKMHX
1392953400949222097,498652998,2025-06-17,Terraferma,Piave 1860,45.4829807,12.2324857,Private room in rental unit,Private room,2,1.0,1.0,1.0,1,365,1,1,365,365,$70.00,t,1,4,20,285,2025-06-17,,26,26,12,2025-04-12,2025-06-13,11.64,4.88,4.88,4.88,5.0,5.0,4.85,4.88,t,t,within an hour,100%,100%,t,t,2023-01-30,,10,0,10,0,IT027042C2WZASKMHX
1393242102074216979,687933693,2025-06-17,Isole,Santa Croce,45.44163800466513,12.330623087171938,Private room in rental unit,Private room,1,2.0,5.0,5.0,32,90,32,32,90,90,$35.00,t,15,45,75,75,2025-06-17,,0,0,0,,,,,,,,,,,f,f,within a day,75%,0%,t,f,2025-04-03,,1,0,1,0,
1393242590531122293,498652998,2025-06-17,Terraferma,Piave 1860,45.4829807,12.2324857,Private room in rental unit,Private room,2,1.0,1.0,1.0,1,365,1,1,365,365,$57.00,t,1,11,31,305,2025-06-17,,23,23,10,2025-04-10,2025-06-14,10.0,4.78,4.87,4.83,5.0,4.96,4.87,4.91,t,t,within an hour,100%,100%,t,t,2023-01-30,,10,0,10,0,IT027042C2WZASKMHX
1393488677729855283,517870164,2025-06-17,Terraferma,Cipressina,45.4963694,12.2322648,Entire home,Entire home/apt,3,1.0,1.0,2.0,1,30,1,1,30,30,$90.00,t,26,53,77,351,2025-06-17,,5,5,1,2025-04-21,2025-06-09,2.59,4.8,4.8,4.8,4.8,4.8,4.8,4.8,t,,within an hour,100%,100%,t,t,2023-06-02,,3,3,0,0,"I applied for a CIN, but haven’t received it yet"
1394016891978173888,562634128,2025-06-17,Terraferma,Gazzera,45.49651351970575,12.21843050909258,Entire rental unit,Entire home/apt,6,2.0,3.0,5.0,2,365,1,2,365,365,$85.00,t,7,22,42,315,2025-06-17,,1,1,1,2025-06-11,2025-06-11,1.0,4.0,3.0,5.0,5.0,5.0,3.0,4.0,f,f,within an hour,95%,88%,t,t,2024-02-18,,4,2,2,0,IT027042B4LZKWHW7K
1394066590624766379,556036334,2025-06-17,Isole,Dorsoduro,45.4346009,12.3258699,Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,1,365,1,1,365,365,$128.00,t,18,41,60,311,2025-06-17,,12,12,8,2025-04-27,2025-06-14,6.92,5.0,5.0,4.92,4.75,4.83,5.0,4.92,t,f,within an hour,100%,99%,t,t,2024-01-12,,19,19,0,0,IT027042B4WLO3A5SR
1394128558331761680,688645992,2025-06-17,Isole,Cannaregio,45.4461246,12.3283241,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,2,28,2,2,28,28,$138.00,t,16,46,76,104,2025-06-17,,11,11,6,2025-04-19,2025-06-14,5.5,5.0,5.0,5.0,4.91,5.0,5.0,5.0,t,f,within an hour,100%,100%,t,t,2025-04-07,,1,1,0,0,IT027042C28F96AB5W
1394191551419985636,498652998,2025-06-17,Terraferma,Piave 1860,45.4829807,12.2324857,Private room in rental unit,Private room,4,1.0,1.0,2.0,1,365,1,1,365,365,$85.00,t,3,18,48,322,2025-06-17,,31,31,12,2025-04-11,2025-06-17,13.68,4.9,4.9,4.81,4.94,4.97,4.87,4.87,t,t,within an hour,100%,100%,t,t,2023-01-30,,10,0,10,0,IT027042C2WZASKMHX
